"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","OFL_post","Cum_Catch","OFL_exceeded"
"1",1999,45657,29100,16557,62,13500,16495,0.361280855071511,NA,15662,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,41719,25502,16217,49,13500,16168,0.387545243174573,NA,12051,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,45754,29531,16223,58,13500,16165,0.353302443502207,NA,16089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,55910,40514,15396,39,13500,15357,0.274673582543373,NA,27053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003,67984,48461,19523,109,13500,19414,0.285567192280537,NA,35070,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2004,91312,65112,26200,121,13500,26079,0.2856032065884,0.324662087193434,51733,0.00125740664186303,0.452603233659455,40500,238220,"NO","NO",157658,438,"NO"
"7",2005,84189,55688,28501,194,13500,28307,0.336231574196154,0.320487207047541,42382,0.00147337076212041,0.476591498909189,40500,264808,"NO","NO",184378,570,"NO"
"8",2006,57122,39305,17817,109,13500,17708,0.31000315115017,0.307563525043474,25914,0.00156610841944858,0.492804601872867,40500,278611,"NO","NO",198241,630,"NO"
"9",2007,44421,29664,14757,114,13500,14643,0.329641385831026,0.30362001543161,16278,0.00171098773376432,0.4949144256718,40500,278744,"NO","NO",198430,686,"NO"
"10",2008,42680,28094,14586,49,13500,14537,0.340604498594189,0.314608501440079,14643,0.00179516543378006,0.479794071827251,40500,266324,"NO","NO",186020,696,"NO"
"11",2009,28044,18251,9793,105,13500,9688,0.345457138781914,0.324590159190309,4856,0.00198983230199443,0.448017068850498,40500,236114,"NO","NO",155806,692,"NO"
"12",2010,22180,13037,9143,65,13500,9078,0.409287646528404,0.345204232513643,0,0.00228254784019294,0.373508807189308,40500,184039,"NO","NO",104073,636,"NO"
"13",2011,26381,15731,10650,72,13500,10578,0.400970395360297,0.355994036041,2303,0.00232760338362889,0.289791149673049,40500,144082,"NO","NO",63994,514,"NO"
"14",2012,23206,22453,753,38,13500,715,0.030810997155908,0.30946201037529,8991,0.0023700992980654,0.251835088169834,40500,127230,"NO","NO",47071,443,"NO"
"15",2013,14382,12305,2077,32,13500,2045,0.142191628424419,0.278220384140855,0,0.00230122455744456,0.196292542375042,40500,109871,"NO","NO",30793,361,"NO"
"16",2014,13403,11980,1423,32,13500,1391,0.103782735208535,0.238750090243246,0,0.00269600927928775,0.126571365873538,40500,93757,"NO","NO",16150,344,"NO"
"17",2015,22796,16825,5971,40,13500,5931,0.260177224074399,0.224536771125327,3365,0.00228038055383006,0.119813973256612,40500,92331,"NO","NO",14659,279,"NO"
"18",2016,25129,14676,10453,102,13500,10351,0.411914521071272,0.224974583549139,1278,0.0025220077096818,0.127193787560756,40500,93970,"NO","NO",15937,316,"NO"
"19",2017,31262,20615,10647,41,13500,10606,0.339261723498177,0.214689804905452,7156,0.00218931002166265,0.159704404738128,40500,98854,"NO","NO",20790,285,"NO"
"20",2018,18511,17289,1222,103,13500,1119,0.0604505429204257,0.219629729199538,3892,0.00278922244447455,0.125044826789286,40500,93690,"NO","NO",15691,350,"NO"
"21",2019,13271,11638,1633,29,13500,1604,0.120865044081079,0.216075298475648,0,0.00279001704563728,0.126161837069437,40500,93023,"NO","NO",15691,347,"NO"
"22",2020,12219,11909,310,29,15000,281,0.0229969719289631,0.202611004595719,0,0.00279247978699224,0.127374419586323,41250,92952,"NO","NO",15691,344,"NO"
"23",2021,12665,12147,518,25,15000,493,0.0389261744966443,0.165735829666094,0,0.00291003653024581,0.109024651282097,42000,88274,"NO","NO",12326,329,"NO"
"24",2022,14113,13974,139,32,15000,107,0.00758166229717282,0.0983470198704103,0,0.00253819543124822,0.108270205113631,42750,87572,"NO","NO",11048,259,"NO"
"25",2023,14742.46,14502,240.46,21,15000,219.46,0.0148862537188502,0.0442844415738559,0,0.00279462020409848,0.0455090453320137,43500,81459,"NO","NO",3892,239,"NO"
