Year,Total Kenai late-run Catch,Kenai late-run EEZ Catch,Escapement,Run,Lower Bound of Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,16557,62,29100,45657,13500,15662,,,,,,,,,
2000,16217,49,25502,41719,13500,12051,,,,,,,,,
2001,16223,58,29531,45754,13500,16089,,,,,,,,,
2002,15396,39,40514,55910,13500,27053,,,,,,,,,
2003,19523,109,48461,67984,13500,35070,,,,,,,,,
2004,26200,121,65112,91312,13500,51733,0,0.45,40500,238220,157658,438,No,No,No
2005,28501,194,55688,84189,13500,42382,0,0.48,40500,264808,184378,570,No,No,No
2006,17817,109,39305,57122,13500,25914,0,0.49,40500,278611,198241,630,No,No,No
2007,14757,114,29664,44421,13500,16278,0,0.5,40500,278744,198430,686,No,No,No
2008,14586,49,28094,42680,13500,14643,0,0.48,40500,266324,186020,696,No,No,No
2009,9793,105,18251,28044,13500,4856,0,0.45,40500,236114,155806,692,No,No,No
2010,9143,65,13037,22180,13500,0,0,0.37,40500,184039,104073,636,No,No,No
2011,10650,72,15731,26381,13500,2303,0,0.29,40500,144082,63994,514,No,No,No
2012,753,38,22453,23206,13500,8991,0,0.25,40500,127230,47071,443,No,No,No
2013,2077,32,12305,14382,13500,0,0,0.2,40500,109871,30793,361,No,No,No
2014,1423,32,11980,13403,13500,0,0,0.13,40500,93757,16150,344,No,No,No
2015,5971,40,16825,22796,13500,3365,0,0.12,40500,92331,14659,279,No,No,No
2016,10453,102,14676,25129,13500,1278,0,0.13,40500,93970,15937,316,No,No,No
2017,10647,41,20615,31262,13500,7156,0,0.16,40500,98854,20790,285,No,No,No
2018,1222,103,17289,18511,13500,3892,0,0.13,40500,93690,15691,350,No,No,No
2019,1633,29,11638,13271,13500,0,0,0.13,40500,93023,15691,347,No,No,No
2020,310,29,11909,12219,15000,0,0,0.13,40500,92952,15691,344,No,No,No
2021,518,25,12147,12665,15000,0,0,0.11,40500,88274,12326,329,No,No,No
2022,139,32,13974,14113,15000,506,0,0.11,40500,87572,11554,259,No,No,No
2023,240.46,21,14502,14742.46,15000,1023,0,0.06,40500,81459,5421,239,No,No,No
