"","Year","Run","Esc","C_total","C_EEZ","Esc_goal","C_state","F_state","F_bar_state","Potential_Yield_EEZ","F_EEZ","MFMT","MSST","Cum_Esc","Overfished","Overfishing","OFL_post","Cum_Catch","OFL_exceeded"
"1",1999,2985,949,2035,341,1212,1694,0.56750418760469,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000,1815,697,1118,181,1212,937,0.516253443526171,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,2190,738,1451,221,1212,1230,0.561643835616438,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2002,3467,1127,2340,360,1212,1980,0.571098932794924,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003,4440,1402,3037,431,1212,2606,0.586936936936937,0.560687467295832,622,0.102973753104652,0.0655165469557629,3030,4913,"NO","YES",976,1534,"YES"
"6",2004,5705,1691,4015,716,1212,3299,0.578264680105171,0.562839565795928,1194,0.108361241982176,0.118692172333541,3030,5655,"NO","NO",2091,1909,"NO"
"7",2005,6109,1654,4455,857,1212,3598,0.588967097724668,0.577382296635628,1299,0.117977271690019,0.154716808908767,3030,6612,"NO","NO",3390,2585,"NO"
"8",2006,2849,1892,957,107,1212,850,0.298350298350298,0.5247235891824,787,0.109481612760301,0.18506867523261,3030,7766,"NO","NO",4177,2471,"NO"
"9",2007,3602,964,2638,774,1212,1864,0.517490283176013,0.514001859258618,526,0.127064523232768,0.195023122660207,3030,7603,"NO","NO",4428,2885,"NO"
"10",2008,2082,709,1374,220,1212,1154,0.554274735830932,0.507469419037417,0,0.131419865336413,0.187054602644124,3030,6910,"NO","NO",3806,2674,"NO"
"11",2009,2430,848,1582,328,1212,1254,0.516049382716049,0.495026359559592,0,0.133903467666354,0.152999062792877,3030,6067,"NO","NO",2612,2286,"NO"
"12",2010,3596,1038,2558,672,1212,1886,0.524471635150167,0.482127267044692,498,0.144309361906724,0.124390411429356,3030,5451,"NO","YES",1811,2101,"YES"
"13",2011,6263,1281,4982,1140,1212,3842,0.613444036404279,0.545146014655488,1209,0.174372670116286,0.124241918433205,3030,4840,"NO","YES",2233,3134,"YES"
"14",2012,4770,1213,3557,1214,1212,2343,0.491194968553459,0.539886951730977,1215,0.186719607126064,0.152656601013531,3030,5089,"NO","YES",2922,3574,"YES"
"15",2013,3628,980,2648,683,1212,1965,0.541620727673649,0.537356150099521,451,0.195146710494513,0.163049257988108,3030,5360,"NO","YES",3373,4037,"YES"
"16",2014,3404,1218,2186,504,1212,1682,0.494124559341951,0.532971185424701,510,0.19449702229814,0.179262268593324,3030,5730,"NO","YES",3883,4213,"YES"
"17",2015,3819,1400,2419,238,1212,2181,0.571091908876669,0.542295240170002,426,0.172683238895997,0.174145494425151,3030,6092,"NO","NO",3811,3779,"NO"
"18",2016,3712,1120,2592,400,1212,2192,0.59051724137931,0.537709881165008,308,0.15719236538561,0.150519836548906,3030,5931,"NO","YES",2910,3039,"YES"
"19",2017,2596,1071,1525,202,1212,1323,0.509630200308166,0.541396927515949,61,0.118130427181071,0.102336966023661,3030,5789,"NO","YES",1756,2027,"YES"
"20",2018,1566,887,679,97,1212,582,0.371647509578544,0.507402283896928,0,0.0954494270384845,0.0864410147711466,3030,5696,"NO","YES",1305,1441,"YES"
"21",2019,3542,1457,2085,252,1212,1833,0.517504234895539,0.512078219007646,497,0.0780439776829669,0.0848047259599606,3030,5935,"NO","NO",1292,1189,"NO"
"22",2020,2394,1506,888,50,1212,838,0.350041771094403,0.467868191451193,344,0.0724837074583635,0.0876176683562636,3030,6041,"NO","NO",1210,1001,"NO"
"23",2021,3992,2242,1751,256,1212,1495,0.374498997995992,0.424664542774529,1285,0.0608232789212207,0.155216465578424,3030,7163,"NO","NO",2187,857,"NO"
"24",2022,2682,1263.18,1418.82,331.568,1212,1087.252,0.405388516032811,0.403816205919458,382.748,0.0695942437923251,0.176971501128668,3030,7355.18,"NO","NO",2508.748,986.568,"NO"
"25",2023,3882.2,2093.1324,1789.0676,418.128,1212,1370.9396,0.353134717428262,0.400113647489402,1299.2604,0.0792917864202471,0.230897539442888,3030,8561.3124,"NO","NO",3808.0084,1307.696,"NO"
