"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",1999,257704,29177,NA
"2",2000,443988,68810,NA
"3",2001,320985,19384,NA
"4",2002,465327,66185,183556
"5",2003,261952,26096,180475
"6",2004,509533,92888,204553
"7",2005,391817,64728,249897
"8",2006,359893,44646,228358
"9",2007,316900,65791,268053
"10",2008,357443,38407,213572
"11",2009,315690,37456,186300
"12",2010,353653,59497,201151
"13",2011,203893,18580,153940
"14",2012,197966,36416,151949
"15",2013,382699,109846,224339
"16",2014,280218,33163,198005
"17",2015,377887,54489,233914
"18",2016,231482,34640,232138
"19",2017,416258,76492,198784
"20",2018,362708,60426,226047
"21",2019,273194,39361,210919
"22",2020,226730,1621,177900
"23",2021,277020,33047,134455
"24",2022,214514,24011,98040
"25",2023,196778,24638,83317
