Year,Total Catch,EEZ Catch,OFL,Max ABC,Cumulative Catch,Max ABC Exceeded?,,,,,,,,,,,,,,,,,,,
1999,179720,80551,,,,,,,,,,,,,,,,,,,,,,,
2000,133335,62061,,,,,,,,,,,,,,,,,,,,,,,
2001,90953,36633,,,,,,,,,,,,,,,,,,,,,,,
2002,245784,116282,560932,504839,295527,No,,,,,,,,,,,,,,,,,,,
2003,126146,53224,560932,504839,268200,No,,,,,,,,,,,,,,,,,,,
2004,151246,64510,560932,504839,270649,No,,,,,,,,,,,,,,,,,,,
2005,73992,33787,560932,504839,267803,No,,,,,,,,,,,,,,,,,,,
2006,67753,33259,560932,504839,184780,No,,,,,,,,,,,,,,,,,,,
2007,79871,46255,560932,504839,177811,No,,,,,,,,,,,,,,,,,,,
2008,53862,23460,560932,504839,136761,No,,,,,,,,,,,,,,,,,,,
2009,86817,41179,560932,504839,144153,No,,,,,,,,,,,,,,,,,,,
2010,233038,122502,560932,504839,233396,No,,,,,,,,,,,,,,,,,,,
2011,134114,48972,560932,504839,236113,No,,,,,,,,,,,,,,,,,,,
2012,274157,140233,560932,504839,352886,No,,,,,,,,,,,,,,,,,,,
2013,145038,76391,560932,504839,388098,No,,,,,,,,,,,,,,,,,,,
2014,122739,57216,560932,504839,322812,No,,,,,,,,,,,,,,,,,,,
2015,281694,116190,560932,504839,390030,No,,,,,,,,,,,,,,,,,,,
2016,127623,39656,560932,504839,289453,No,,,,,,,,,,,,,,,,,,,
2017,249251,103807,560932,504839,316869,No,,,,,,,,,,,,,,,,,,,
2018,118603,64550,560932,504839,324203,No,,,,,,,,,,,,,,,,,,,
2019,132645,53994,560932,504839,262007,No,,,,,,,,,,,,,,,,,,,
2020,33287,7681,560932,504839,230032,No,,,,,,,,,,,,,,,,,,,
2021,73235,29239,560932,504839,155464,No,,,,,,,,,,,,,,,,,,,
2022,102834.40,38885.00,560932.00,504838.80,129799.00,No,,,,,,,,,,,,,,,,,,,
2023,130920.80,51081.00,560932.00,504838.80,126886.00,No,,,,,,,,,,,,,,,,,,,
