Year,Total Catch,EEZ Catch,OFL,Max ABC,Max ABC Exceeded?
2000,189728,42595,150023,135021,No
2002,490034,114737,150023,135021,No
2004,393589,103094,150023,135021,No
2006,442423,90616,150023,135021,No
2008,208092,49503,150023,135021,No
2010,320840,89935,150023,135021,No
2012,498572,132790,150023,135021,No
2014,703285,150023,150023,135021,Yes
2016,425497,109481,150023,135021,No
2018,172974,38981,150023,135021,No
2020,395430,11828,150023,135021,No
2022,131082.00,29611.00,150023.00,135021.00,No
